InputSize	GroupSize	Distribution	resultSize	PSTime	Variant	Intent	localSize	Aggregate	AggTime
18	0	0	1	1.46125e+06	2	2	7	262144	110182	0
18	0	0	1	1.46125e+06	2	2	8	262144	110387	0
18	0	0	1	1.46125e+06	2	2	9	262144	110182	0
18	0	0	1	1.46125e+06	2	2	10	262144	109773	0
18	0	0	1	1.46125e+06	2	4	1	262144	233984	0
18	0	0	1	1.46125e+06	2	4	2	262144	121037	0
18	0	0	1	1.46125e+06	2	4	3	262144	65638.4	0
18	0	0	1	1.46125e+06	2	4	4	262144	63385.6	0
18	0	0	1	1.46125e+06	2	4	5	262144	63897.6	0
18	0	0	1	1.46125e+06	2	4	6	262144	63385.6	0
18	0	0	1	1.46125e+06	2	4	7	262144	63488	0
18	0	0	1	1.46125e+06	2	4	8	262144	64307.2	0
18	0	0	1	1.46125e+06	2	4	9	262144	63488	0
18	0	0	1	1.46125e+06	2	4	10	262144	64000	0
18	0	0	1	1.46125e+06	2	8	1	262144	186573	0
18	0	0	1	1.46125e+06	2	8	2	262144	97894.4	0
18	0	0	1	1.46125e+06	2	8	3	262144	52838.4	0
18	0	0	1	1.46125e+06	2	8	4	262144	43929.6	0
18	0	0	1	1.46125e+06	2	8	5	262144	43110.4	0
18	0	0	1	1.46125e+06	2	8	6	262144	45670.4	0
18	0	0	1	1.46125e+06	2	8	7	262144	45568	0
18	0	0	1	1.46125e+06	2	8	8	262144	45056	0
18	0	0	1	1.46125e+06	2	8	9	262144	45465.6	0
18	0	0	1	1.46125e+06	2	8	10	262144	45568	0
18	0	0	1	1.46125e+06	2	16	1	262144	154624	0
18	0	0	1	1.46125e+06	2	16	2	262144	82739.2	0
18	0	0	1	1.46125e+06	2	16	3	262144	50892.8	0
18	0	0	1	1.46125e+06	2	16	4	262144	38604.8	0
18	0	0	1	1.46125e+06	2	16	5	262144	36044.8	0
18	0	0	1	1.46125e+06	2	16	6	262144	35328	0
18	0	0	1	1.46125e+06	2	16	7	262144	35328	0
18	0	0	1	1.46125e+06	2	16	8	262144	35430.4	0
18	0	0	1	1.46125e+06	2	16	9	262144	35225.6	0
18	0	0	1	1.46125e+06	2	16	10	262144	38400	0
18	0	0	1	1.46125e+06	2	32	1	262144	162202	0
18	0	0	1	1.46125e+06	2	32	2	262144	90521.6	0
18	0	0	1	1.46125e+06	2	32	3	262144	67584	0
18	0	0	1	1.46125e+06	2	32	4	262144	65843.2	0
18	0	0	1	1.46125e+06	2	32	5	262144	66764.8	0
18	0	0	1	1.46125e+06	2	32	6	262144	65433.6	0
18	0	0	1	1.46125e+06	2	32	7	262144	65331.2	0
18	0	0	1	1.46125e+06	2	32	8	262144	65536	0
18	0	0	1	1.46125e+06	2	32	9	262144	64204.8	0
18	0	0	1	1.46125e+06	2	32	10	262144	76902.4	0
18	0	0	1	1.46125e+06	2	64	1	262144	170086	0
18	0	0	1	1.46125e+06	2	64	2	262144	95641.6	0
18	0	0	1	1.46125e+06	2	64	3	262144	65228.8	0
18	0	0	1	1.46125e+06	2	64	4	262144	66867.2	0
18	0	0	1	1.46125e+06	2	64	5	262144	61235.2	0
18	0	0	1	1.46125e+06	2	64	6	262144	62771.2	0
18	0	0	1	1.46125e+06	2	64	7	262144	61747.2	0
18	0	0	1	1.46125e+06	2	64	8	262144	61440	0
18	0	0	1	1.46125e+06	2	64	9	262144	72601.6	0
18	0	0	1	1.46125e+06	2	64	10	262144	65536	0
18	0	0	1	1.46125e+06	2	128	1	262144	187187	0
18	0	0	1	1.46125e+06	2	128	2	262144	97075.2	0
18	0	0	1	1.46125e+06	2	128	3	262144	77209.6	0
18	0	0	1	1.46125e+06	2	128	4	262144	61542.4	0
18	0	0	1	1.46125e+06	2	128	5	262144	62771.2	0
18	0	0	1	1.46125e+06	2	128	6	262144	61542.4	0
18	0	0	1	1.46125e+06	2	128	7	262144	61235.2	0
18	0	0	1	1.46125e+06	2	128	8	262144	70553.6	0
18	0	0	1	1.46125e+06	2	128	9	262144	66764.8	0
18	0	0	1	1.46125e+06	2	128	10	262144	117043	0
18	0	0	1	1.46125e+06	2	256	1	262144	182067	0
18	0	0	1	1.46125e+06	2	256	2	262144	122778	0
18	0	0	1	1.46125e+06	2	256	3	262144	71168	0
18	0	0	1	1.46125e+06	2	256	4	262144	72806.4	0
18	0	0	1	1.46125e+06	2	256	5	262144	76492.8	0
18	0	0	1	1.46125e+06	2	256	6	262144	78336	0
18	0	0	1	1.46125e+06	2	256	7	262144	76902.4	0
18	0	0	1	1.46125e+06	2	256	8	262144	77312	0
18	0	0	1	1.46125e+06	2	256	9	262144	114790	0
18	0	0	1	1.46125e+06	2	256	10	262144	220058	0
18	0	0	1	1.46125e+06	2	512	1	262144	233574	0
18	0	0	1	1.46125e+06	2	512	2	262144	128717	0
18	0	0	1	1.46125e+06	2	512	3	262144	128205	0
18	0	0	1	1.46125e+06	2	512	4	262144	138445	0
18	0	0	1	1.46125e+06	2	512	5	262144	146330	0
18	0	0	1	1.46125e+06	2	512	6	262144	147866	0
18	0	0	1	1.46125e+06	2	512	7	262144	148173	0
18	0	0	1	1.46125e+06	2	512	8	262144	204493	0
18	0	0	1	1.46125e+06	2	512	9	262144	401510	0
18	0	0	1	1.46125e+06	3	2	1	262144	393114	0
18	0	0	1	1.46125e+06	3	2	2	262144	199578	0
18	0	0	1	1.46125e+06	3	2	3	262144	124109	0
18	0	0	1	1.46125e+06	3	2	4	262144	116941	0
18	0	0	1	1.46125e+06	3	2	5	262144	116736	0
18	0	0	1	1.46125e+06	3	2	6	262144	116838	0
18	0	0	1	1.46125e+06	3	2	7	262144	117043	0
18	0	0	1	1.46125e+06	3	2	8	262144	116531	0
18	0	0	1	1.46125e+06	3	2	9	262144	117146	0
18	0	0	1	1.46125e+06	3	2	10	262144	117862	0
18	0	0	1	1.46125e+06	3	4	1	262144	272384	0
18	0	0	1	1.46125e+06	3	4	2	262144	139571	0
18	0	0	1	1.46125e+06	3	4	3	262144	87142.4	0
18	0	0	1	1.46125e+06	3	4	4	262144	76595.2	0
18	0	0	1	1.46125e+06	3	4	5	262144	70758.4	0
18	0	0	1	1.46125e+06	3	4	6	262144	69017.6	0
18	0	0	1	1.46125e+06	3	4	7	262144	68915.2	0
18	0	0	1	1.46125e+06	3	4	8	262144	72806.4	0
18	0	0	1	1.46125e+06	3	4	9	262144	69734.4	0
18	0	0	1	1.46125e+06	3	4	10	262144	70041.6	0
18	0	0	1	1.46125e+06	3	8	1	262144	132198	0
18	0	0	1	1.46125e+06	3	8	2	262144	71577.6	0
18	0	0	1	1.46125e+06	3	8	3	262144	49971.2	0
18	0	0	1	1.46125e+06	3	8	4	262144	46080	0
18	0	0	1	1.46125e+06	3	8	5	262144	45568	0
18	0	0	1	1.46125e+06	3	8	6	262144	48025.6	0
18	0	0	1	1.46125e+06	3	8	7	262144	47513.6	0
18	0	0	1	1.46125e+06	3	8	8	262144	48128	0
18	0	0	1	1.46125e+06	3	8	9	262144	47923.2	0
18	0	0	1	1.46125e+06	3	8	10	262144	49152	0
18	0	0	1	1.46125e+06	3	16	1	262144	121037	0
18	0	0	1	1.46125e+06	3	16	2	262144	64409.6	0
18	0	0	1	1.46125e+06	3	16	3	262144	41881.6	0
18	0	0	1	1.46125e+06	3	16	4	262144	37990.4	0
18	0	0	1	1.46125e+06	3	16	5	262144	37580.8	0
18	0	0	1	1.46125e+06	3	16	6	262144	40345.6	0
18	0	0	1	1.46125e+06	3	16	7	262144	39731.2	0
18	0	0	1	1.46125e+06	3	16	8	262144	39833.6	0
18	0	0	1	1.46125e+06	3	16	9	262144	39731.2	0
18	0	0	1	1.46125e+06	3	16	10	262144	41779.2	0
18	0	0	1	1.46125e+06	3	32	1	262144	115302	0
18	0	0	1	1.46125e+06	3	32	2	262144	63488	0
18	0	0	1	1.46125e+06	3	32	3	262144	47923.2	0
18	0	0	1	1.46125e+06	3	32	4	262144	43008	0
18	0	0	1	1.46125e+06	3	32	5	262144	43212.8	0
18	0	0	1	1.46125e+06	3	32	6	262144	44236.8	0
18	0	0	1	1.46125e+06	3	32	7	262144	44748.8	0
18	0	0	1	1.46125e+06	3	32	8	262144	44748.8	0
18	0	0	1	1.46125e+06	3	32	9	262144	45158.4	0
18	0	0	1	1.46125e+06	3	32	10	262144	51916.8	0
18	0	0	1	1.46125e+06	3	64	1	262144	116224	0
18	0	0	1	1.46125e+06	3	64	2	262144	64409.6	0
18	0	0	1	1.46125e+06	3	64	3	262144	44646.4	0
18	0	0	1	1.46125e+06	3	64	4	262144	41881.6	0
18	0	0	1	1.46125e+06	3	64	5	262144	39219.2	0
18	0	0	1	1.46125e+06	3	64	6	262144	39014.4	0
18	0	0	1	1.46125e+06	3	64	7	262144	38912	0
18	0	0	1	1.46125e+06	3	64	8	262144	39014.4	0
18	0	0	1	1.46125e+06	3	64	9	262144	47616	0
18	0	0	1	1.46125e+06	3	64	10	262144	47104	0
18	0	0	1	1.46125e+06	3	128	1	262144	153907	0
18	0	0	1	1.46125e+06	3	128	2	262144	86630.4	0
18	0	0	1	1.46125e+06	3	128	3	262144	82636.8	0
18	0	0	1	1.46125e+06	3	128	4	262144	64512	0
18	0	0	1	1.46125e+06	3	128	5	262144	67379.2	0
18	0	0	1	1.46125e+06	3	128	6	262144	65024	0
18	0	0	1	1.46125e+06	3	128	7	262144	65126.4	0
18	0	0	1	1.46125e+06	3	128	8	262144	78745.6	0
18	0	0	1	1.46125e+06	3	128	9	262144	76492.8	0
18	0	0	1	1.46125e+06	3	128	10	262144	135168	0
18	0	0	1	1.46125e+06	3	256	1	262144	151654	0
18	0	0	1	1.46125e+06	3	256	2	262144	94617.6	0
18	0	0	1	1.46125e+06	3	256	3	262144	69324.8	0
18	0	0	1	1.46125e+06	3	256	4	262144	72294.4	0
18	0	0	1	1.46125e+06	3	256	5	262144	76492.8	0
18	0	0	1	1.46125e+06	3	256	6	262144	77107.2	0
18	0	0	1	1.46125e+06	3	256	7	262144	77619.2	0
18	0	0	1	1.46125e+06	3	256	8	262144	78438.4	0
18	0	0	1	1.46125e+06	3	256	9	262144	134656	0
18	0	0	1	1.46125e+06	3	256	10	262144	258867	0
18	0	0	1	1.46125e+06	3	512	1	262144	173773	0
18	0	0	1	1.46125e+06	3	512	2	262144	98201.6	0
18	0	0	1	1.46125e+06	3	512	3	262144	83353.6	0
18	0	0	1	1.46125e+06	3	512	4	262144	93900.8	0
18	0	0	1	1.46125e+06	3	512	5	262144	90828.8	0
18	0	0	1	1.46125e+06	3	512	6	262144	111411	0
18	0	0	1	1.46125e+06	3	512	7	262144	111411	0
18	0	0	1	1.46125e+06	3	512	8	262144	216269	0
18	0	0	1	1.46125e+06	3	512	9	262144	425779	0
18	0	0	1	1.46125e+06	4	1	1	262144	864973	0
18	0	0	1	1.46125e+06	4	1	2	262144	434893	0
18	0	0	1	1.46125e+06	4	1	3	262144	220570	0
18	0	0	1	1.46125e+06	4	1	4	262144	86630.4	0
18	0	0	1	1.46125e+06	4	1	5	262144	56217.6	0
18	0	0	1	1.46125e+06	4	1	6	262144	48537.6	0
18	0	0	1	1.46125e+06	4	1	7	262144	46796.8	0
18	0	0	1	1.46125e+06	4	1	8	262144	48332.8	0
18	0	0	1	1.46125e+06	4	1	9	262144	52736	0
18	0	0	1	1.46125e+06	4	1	10	262144	57651.2	0
18	0	0	1	1.46125e+06	5	2	1	262144	399155	0
18	0	0	1	1.46125e+06	5	2	2	262144	206643	0
18	0	0	1	1.46125e+06	5	2	3	262144	99123.2	0
18	0	0	1	1.46125e+06	5	2	4	262144	61132.8	0
18	0	0	1	1.46125e+06	5	2	5	262144	48742.4	0
18	0	0	1	1.46125e+06	5	2	6	262144	46592	0
18	0	0	1	1.46125e+06	5	2	7	262144	44851.2	0
18	0	0	1	1.46125e+06	5	2	8	262144	45363.2	0
18	0	0	1	1.46125e+06	5	2	9	262144	47923.2	0
18	0	0	1	1.46125e+06	5	2	10	262144	50992	0
18	0	0	1	1.46125e+06	5	4	1	262144	210739	0
18	0	0	1	1.46125e+06	5	4	2	262144	96563.2	0
18	0	0	1	1.46125e+06	5	4	3	262144	60928	0
18	0	0	1	1.46125e+06	5	4	4	262144	49049.6	0
18	0	0	1	1.46125e+06	5	4	5	262144	46489.6	0
18	0	0	1	1.46125e+06	5	4	6	262144	46694.4	0
18	0	0	1	1.46125e+06	5	4	7	262144	45363.2	0
18	0	0	1	1.46125e+06	5	4	8	262144	45875.2	0
18	0	0	1	1.46125e+06	5	4	9	262144	47206.4	0
18	0	0	1	1.46125e+06	5	4	10	262144	52121.6	0
18	0	0	1	1.46125e+06	5	8	1	262144	90009.6	0
18	0	0	1	1.46125e+06	5	8	2	262144	61235.2	0
18	0	0	1	1.46125e+06	5	8	3	262144	53964.8	0
18	0	0	1	1.46125e+06	5	8	4	262144	50585.6	0
18	0	0	1	1.46125e+06	5	8	5	262144	49459.2	0
18	0	0	1	1.46125e+06	5	8	6	262144	49664	0
18	0	0	1	1.46125e+06	5	8	7	262144	49254.4	0
18	0	0	1	1.46125e+06	5	8	8	262144	51097.6	0
18	0	0	1	1.46125e+06	5	8	9	262144	53452.8	0
18	0	0	1	1.46125e+06	5	8	10	262144	58265.6	0
18	0	0	1	1.46125e+06	5	16	1	262144	77926.4	0
18	0	0	1	1.46125e+06	5	16	2	262144	63488	0
18	0	0	1	1.46125e+06	5	16	3	262144	59392	0
18	0	0	1	1.46125e+06	5	16	4	262144	57548.8	0
18	0	0	1	1.46125e+06	5	16	5	262144	57958.4	0
18	0	0	1	1.46125e+06	5	16	6	262144	57856	0
18	0	0	1	1.46125e+06	5	16	7	262144	57548.8	0
18	0	0	1	1.46125e+06	5	16	8	262144	58163.2	0
18	0	0	1	1.46125e+06	5	16	9	262144	65536	0
18	0	0	1	1.46125e+06	5	16	10	0	0	0
18	0	0	1	1.46125e+06	5	32	1	262144	87347.2	0
18	0	0	1	1.46125e+06	5	32	2	262144	79052.8	0
18	0	0	1	1.46125e+06	5	32	3	262144	77721.6	0
18	0	0	1	1.46125e+06	5	32	4	262144	74956.8	0
18	0	0	1	1.46125e+06	5	32	5	262144	74752	0
18	0	0	1	1.46125e+06	5	32	6	262144	74956.8	0
18	0	0	1	1.46125e+06	5	32	7	262144	74444.8	0
18	0	0	1	1.46125e+06	5	32	8	262144	80486.4	0
18	0	0	1	1.46125e+06	5	32	9	0	0	0
18	0	0	1	1.46125e+06	5	32	10	0	0	0
18	0	0	1	1.46125e+06	5	64	1	262144	86016	0
18	0	0	1	1.46125e+06	5	64	2	262144	80076.8	0
18	0	0	1	1.46125e+06	5	64	3	262144	77312	0
18	0	0	1	1.46125e+06	5	64	4	262144	75366.4	0
18	0	0	1	1.46125e+06	5	64	5	262144	76697.6	0
18	0	0	1	1.46125e+06	5	64	6	262144	81510.4	0
18	0	0	1	1.46125e+06	5	64	7	262144	81616	0
18	0	0	1	1.46125e+06	5	64	8	0	0	0
18	0	0	1	1.46125e+06	5	64	9	0	0	0
18	0	0	1	1.46125e+06	5	64	10	0	0	0
18	0	0	1	1.46125e+06	5	128	1	262144	86732.8	0
18	0	0	1	1.46125e+06	5	128	2	262144	81408	0
18	0	0	1	1.46125e+06	5	128	3	262144	77619.2	0
18	0	0	1	1.46125e+06	5	128	4	262144	77209.6	0
18	0	0	1	1.46125e+06	5	128	5	262144	86835.2	0
18	0	0	1	1.46125e+06	5	128	6	262144	88473.6	0
18	0	0	1	1.46125e+06	5	128	7	0	0	0
18	0	0	1	1.46125e+06	5	128	8	0	0	0
18	0	0	1	1.46125e+06	5	128	9	0	0	0
18	0	0	1	1.46125e+06	5	128	10	0	0	0
18	0	0	1	1.46125e+06	5	256	1	262144	88166.4	0
18	0	0	1	1.46125e+06	5	256	2	262144	81920	0
18	0	0	1	1.46125e+06	5	256	3	262144	78540.8	0
18	0	0	1	1.46125e+06	5	256	4	262144	89808	0
18	0	0	1	1.46125e+06	5	256	5	262144	146944	0
18	0	0	1	1.46125e+06	5	256	6	0	0	0
18	0	0	1	1.46125e+06	5	256	7	0	0	0
18	0	0	1	1.46125e+06	5	256	8	0	0	0
18	0	0	1	1.46125e+06	5	256	9	0	0	0
18	0	0	1	1.46125e+06	5	256	10	0	0	0
18	0	0	1	1.46125e+06	5	512	1	262144	91750.4	0
18	0	0	1	1.46125e+06	5	512	2	262144	87040	0
18	0	0	1	1.46125e+06	5	512	3	262144	103322	0
18	0	0	1	1.46125e+06	5	512	4	262144	158720	0
18	0	0	1	1.46125e+06	5	512	5	0	0	0
18	0	0	1	1.46125e+06	5	512	6	0	0	0
18	0	0	1	1.46125e+06	5	512	7	0	0	0
18	0	0	1	1.46125e+06	5	512	8	0	0	0
18	0	0	1	1.46125e+06	5	512	9	0	0	0
18	0	0	1	1.46125e+06	6	2	1	262144	407859	0
18	0	0	1	1.46125e+06	6	2	2	262144	209715	0
18	0	0	1	1.46125e+06	6	2	3	262144	108032	0
18	0	0	1	1.46125e+06	6	2	4	262144	52428.8	0
18	0	0	1	1.46125e+06	6	2	5	262144	35328	0
18	0	0	1	1.46125e+06	6	2	6	262144	30208	0
18	0	0	1	1.46125e+06	6	2	7	262144	27852.8	0
18	0	0	1	1.46125e+06	6	2	8	262144	29388.8	0
18	0	0	1	1.46125e+06	6	2	9	262144	31539.2	0
18	0	0	1	1.46125e+06	6	2	10	262144	36249.6	0
18	0	0	1	1.46125e+06	6	4	1	262144	269210	0
18	0	0	1	1.46125e+06	6	4	2	262144	135270	0
18	0	0	1	1.46125e+06	6	4	3	262144	68198.4	0
18	0	0	1	1.46125e+06	6	4	4	262144	36761.6	0
18	0	0	1	1.46125e+06	6	4	5	262144	30310.4	0
18	0	0	1	1.46125e+06	6	4	6	262144	28774.4	0
18	0	0	1	1.46125e+06	6	4	7	262144	24883.2	0
18	0	0	1	1.46125e+06	6	4	8	262144	25600	0
18	0	0	1	1.46125e+06	6	4	9	262144	27852.8	0
18	0	0	1	1.46125e+06	6	4	10	262144	31129.6	0
18	0	0	1	1.46125e+06	6	8	1	262144	186880	0
18	0	0	1	1.46125e+06	6	8	2	262144	98611.2	0
18	0	0	1	1.46125e+06	6	8	3	262144	53248	0
18	0	0	1	1.46125e+06	6	8	4	262144	33996.8	0
18	0	0	1	1.46125e+06	6	8	5	262144	28467.2	0
18	0	0	1	1.46125e+06	6	8	6	262144	28057.6	0
18	0	0	1	1.46125e+06	6	8	7	262144	28160	0
18	0	0	1	1.46125e+06	6	8	8	262144	29593.6	0
18	0	0	1	1.46125e+06	6	8	9	262144	32768	0
18	0	0	1	1.46125e+06	6	8	10	262144	35532.8	0
18	0	0	1	1.46125e+06	6	16	1	262144	164557	0
18	0	0	1	1.46125e+06	6	16	2	262144	89804.8	0
18	0	0	1	1.46125e+06	6	16	3	262144	55398.4	0
18	0	0	1	1.46125e+06	6	16	4	262144	39424	0
18	0	0	1	1.46125e+06	6	16	5	262144	34508.8	0
18	0	0	1	1.46125e+06	6	16	6	262144	35532.8	0
18	0	0	1	1.46125e+06	6	16	7	262144	35840	0
18	0	0	1	1.46125e+06	6	16	8	262144	36761.6	0
18	0	0	1	1.46125e+06	6	16	9	262144	42700.8	0
18	0	0	1	1.46125e+06	6	16	10	0	0	0
18	0	0	1	1.46125e+06	6	32	1	262144	199680	0
18	0	0	1	1.46125e+06	6	32	2	262144	115507	0
18	0	0	1	1.46125e+06	6	32	3	262144	83660.8	0
18	0	0	1	1.46125e+06	6	32	4	262144	82432	0
18	0	0	1	1.46125e+06	6	32	5	262144	80486.4	0
18	0	0	1	1.46125e+06	6	32	6	262144	80486.4	0
18	0	0	1	1.46125e+06	6	32	7	262144	86835.2	0
18	0	0	1	1.46125e+06	6	32	8	262144	88985.6	0
18	0	0	1	1.46125e+06	6	32	9	0	0	0
18	0	0	1	1.46125e+06	6	32	10	0	0	0
18	0	0	1	1.46125e+06	6	64	1	262144	180941	0
18	0	0	1	1.46125e+06	6	64	2	262144	117146	0
18	0	0	1	1.46125e+06	6	64	3	262144	91033.6	0
18	0	0	1	1.46125e+06	6	64	4	262144	86323.2	0
18	0	0	1	1.46125e+06	6	64	5	262144	91238.4	0
18	0	0	1	1.46125e+06	6	64	6	262144	95436.8	0
18	0	0	1	1.46125e+06	6	64	7	262144	97382.4	0
18	0	0	1	1.46125e+06	6	64	8	0	0	0
18	0	0	1	1.46125e+06	6	64	9	0	0	0
18	0	0	1	1.46125e+06	6	64	10	0	0	0
18	0	0	1	1.46125e+06	6	128	1	262144	218214	0
18	0	0	1	1.46125e+06	6	128	2	262144	135270	0
18	0	0	1	1.46125e+06	6	128	3	262144	110080	0
18	0	0	1	1.46125e+06	6	128	4	262144	112947	0
18	0	0	1	1.46125e+06	6	128	5	262144	150630	0
18	0	0	1	1.46125e+06	6	128	6	262144	157389	0
18	0	0	1	1.46125e+06	6	128	7	0	0	0
18	0	0	1	1.46125e+06	6	128	8	0	0	0
18	0	0	1	1.46125e+06	6	128	9	0	0	0
18	0	0	1	1.46125e+06	6	128	10	0	0	0
18	0	0	1	1.46125e+06	6	256	1	262144	207258	0
18	0	0	1	1.46125e+06	6	256	2	262144	156672	0
18	0	0	1	1.46125e+06	6	256	3	262144	161382	0
18	0	0	1	1.46125e+06	6	256	4	262144	217702	0
18	0	0	1	1.46125e+06	6	256	5	262144	281805	0
