ColumnName	GroupSize	PSTime	Variant	TotalSize	Intent	GlobalSize	localSize	Aggregate	AggTime
p_partkey	16384	271360	2	16384	2	8192	64	1	6860.8
p_partkey	16384	271360	2	16384	2	8192	128	1	6553.6
p_partkey	16384	271360	2	16384	2	8192	256	1	6656
p_partkey	16384	271360	2	16384	2	8192	512	1	6758.4
p_partkey	16384	271360	2	16384	2	8192	1024	1	7168
p_partkey	16384	271360	2	16384	4	4096	2	1	22425.6
p_partkey	16384	271360	2	16384	4	4096	4	1	13824
p_partkey	16384	271360	2	16384	4	4096	8	1	10035.2
p_partkey	16384	271360	2	16384	4	4096	16	1	8806.4
p_partkey	16384	271360	2	16384	4	4096	32	1	7782.4
p_partkey	16384	271360	2	16384	4	4096	64	1	7884.8
p_partkey	16384	271360	2	16384	4	4096	128	1	7884.8
p_partkey	16384	271360	2	16384	4	4096	256	1	8195.2
p_partkey	16384	271360	2	16384	4	4096	512	1	8499.2
p_partkey	16384	271360	2	16384	4	4096	1024	1	8704
p_partkey	16384	271360	2	16384	8	2048	2	1	19660.8
p_partkey	16384	271360	2	16384	8	2048	4	1	13312
p_partkey	16384	271360	2	16384	8	2048	8	1	11264
p_partkey	16384	271360	2	16384	8	2048	16	1	9216
p_partkey	16384	271360	2	16384	8	2048	32	1	9523.2
p_partkey	16384	271360	2	16384	8	2048	64	1	9728
p_partkey	16384	271360	2	16384	8	2048	128	1	9318.4
p_partkey	16384	271360	2	16384	8	2048	256	1	10444.8
p_partkey	16384	271360	2	16384	8	2048	512	1	10240
p_partkey	16384	271360	2	16384	8	2048	1024	1	15155.2
p_partkey	16384	271360	2	16384	16	1024	2	1	17510.4
p_partkey	16384	271360	2	16384	16	1024	4	1	13824
p_partkey	16384	271360	2	16384	16	1024	8	1	12390.4
p_partkey	16384	271360	2	16384	16	1024	16	1	10854.4
p_partkey	16384	271360	2	16384	16	1024	32	1	12083.2
p_partkey	16384	271360	2	16384	16	1024	64	1	11673.6
p_partkey	16384	271360	2	16384	16	1024	128	1	11878.4
p_partkey	16384	271360	2	16384	16	1024	256	1	11980.8
p_partkey	16384	271360	2	16384	16	1024	512	1	18022.4
p_partkey	16384	271360	2	16384	16	1024	1024	1	30720
p_partkey	16384	271360	2	16384	32	512	2	1	20070.4
p_partkey	16384	271360	2	16384	32	512	4	1	13107.2
p_partkey	16384	271360	2	16384	32	512	8	1	13107.2
p_partkey	16384	271360	2	16384	32	512	16	1	13619.2
p_partkey	16384	271360	2	16384	32	512	32	1	14848
p_partkey	16384	271360	2	16384	32	512	64	1	14438.4
p_partkey	16384	271360	2	16384	32	512	128	1	14643.2
p_partkey	16384	271360	2	16384	32	512	256	1	18534.4
p_partkey	16384	271360	2	16384	32	512	512	1	31539.2
p_partkey	16384	271360	2	16384	64	256	2	1	20070.4
p_partkey	16384	271360	2	16384	64	256	4	1	19456
p_partkey	16384	271360	2	16384	64	256	8	1	19865.6
p_partkey	16384	271360	2	16384	64	256	16	1	20787.2
p_partkey	16384	271360	2	16384	64	256	32	1	23449.6
p_partkey	16384	271360	2	16384	64	256	64	1	22835.2
p_partkey	16384	271360	2	16384	64	256	128	1	23244.8
p_partkey	16384	271360	2	16384	64	256	256	1	33177.6
p_partkey	16384	271360	2	16384	128	128	2	1	33996.8
p_partkey	16384	271360	2	16384	128	128	4	1	33075.2
p_partkey	16384	271360	2	16384	128	128	8	1	34406.4
p_partkey	16384	271360	2	16384	128	128	16	1	35840
p_partkey	16384	271360	2	16384	128	128	32	1	39628.8
p_partkey	16384	271360	2	16384	128	128	64	1	38707.2
p_partkey	16384	271360	2	16384	128	128	128	1	40857.6
p_partkey	16384	271360	2	16384	256	64	2	1	60928
p_partkey	16384	271360	2	16384	256	64	4	1	60624
p_partkey	16384	271360	2	16384	256	64	8	1	62156.8
p_partkey	16384	271360	2	16384	256	64	16	1	65024
p_partkey	16384	271360	2	16384	256	64	32	1	72089.6
p_partkey	16384	271360	2	16384	256	64	64	1	71168
p_partkey	16384	271360	2	16384	512	32	2	1	113971
p_partkey	16384	271360	2	16384	512	32	4	1	116224
p_partkey	16384	271360	2	16384	512	32	8	1	119398
p_partkey	16384	271360	2	16384	512	32	16	1	123494
p_partkey	16384	271360	2	16384	512	32	32	1	137421
p_partkey	16384	271360	3	16384	2	8192	2	1	33177.6
p_partkey	16384	271360	3	16384	2	8192	4	1	19456
p_partkey	16384	271360	3	16384	2	8192	8	1	13004.8
p_partkey	16384	271360	3	16384	2	8192	16	1	8806.4
p_partkey	16384	271360	3	16384	2	8192	32	1	7577.6
p_partkey	16384	271360	3	16384	2	8192	64	1	7577.6
p_partkey	16384	271360	3	16384	2	8192	128	1	7680
p_partkey	16384	271360	3	16384	2	8192	256	1	7577.6
p_partkey	16384	271360	3	16384	2	8192	512	1	7680
p_partkey	16384	271360	3	16384	2	8192	1024	1	7987.2
p_partkey	16384	271360	3	16384	4	4096	2	1	27545.6
p_partkey	16384	271360	3	16384	4	4096	4	1	16588.8
p_partkey	16384	271360	3	16384	4	4096	8	1	11571.2
p_partkey	16384	271360	3	16384	4	4096	16	1	9830.4
p_partkey	16384	271360	3	16384	4	4096	32	1	8499.2
p_partkey	16384	271360	3	16384	4	4096	64	1	8704
p_partkey	16384	271360	3	16384	4	4096	128	1	8499.2
p_partkey	16384	271360	3	16384	4	4096	256	1	8601.6
p_partkey	16384	271360	3	16384	4	4096	512	1	9216
p_partkey	16384	271360	3	16384	4	4096	1024	1	10649.6
p_partkey	16384	271360	3	16384	8	2048	2	1	22016
p_partkey	16384	271360	3	16384	8	2048	4	1	14438.4
p_partkey	16384	271360	3	16384	8	2048	8	1	11673.6
p_partkey	16384	271360	3	16384	8	2048	16	1	10342.4
p_partkey	16384	271360	3	16384	8	2048	32	1	10649.6
p_partkey	16384	271360	3	16384	8	2048	64	1	10748.8
p_partkey	16384	271360	3	16384	8	2048	128	1	10444.8
p_partkey	16384	271360	3	16384	8	2048	256	1	11571.2
p_partkey	16384	271360	3	16384	8	2048	512	1	11878.4
p_partkey	16384	271360	3	16384	8	2048	1024	1	17715.2
p_partkey	16384	271360	3	16384	16	1024	2	1	24883.2
p_partkey	16384	271360	3	16384	16	1024	4	1	18022.4
p_partkey	16384	271360	3	16384	16	1024	8	1	11878.4
p_partkey	16384	271360	3	16384	16	1024	16	1	11776
p_partkey	16384	271360	3	16384	16	1024	32	1	11571.2
p_partkey	16384	271360	3	16384	16	1024	64	1	10854.4
p_partkey	16384	271360	3	16384	16	1024	128	1	13004.8
p_partkey	16384	271360	3	16384	16	1024	256	1	12902.4
p_partkey	16384	271360	3	16384	16	1024	512	1	19660.8
p_partkey	16384	271360	3	16384	16	1024	1024	1	32972.8
p_partkey	16384	271360	3	16384	32	512	2	1	33792
p_partkey	16384	271360	3	16384	32	512	4	1	19660.8
p_partkey	16384	271360	3	16384	32	512	8	1	13619.2
p_partkey	16384	271360	3	16384	32	512	16	1	13619.2
p_partkey	16384	271360	3	16384	32	512	32	1	14128
p_partkey	16384	271360	3	16384	32	512	64	1	14643.2
p_partkey	16384	271360	3	16384	32	512	128	1	14953.6
p_partkey	16384	271360	3	16384	32	512	256	1	23449.6
p_partkey	16384	271360	3	16384	32	512	512	1	40140.8
p_partkey	16384	271360	3	16384	64	256	2	1	37068.8
p_partkey	16384	271360	3	16384	64	256	4	1	27033.6
p_partkey	16384	271360	3	16384	64	256	8	1	17612.8
p_partkey	16384	271360	3	16384	64	256	16	1	16998.4
p_partkey	16384	271360	3	16384	64	256	32	1	19148.8
p_partkey	16384	271360	3	16384	64	256	64	1	19148.8
p_partkey	16384	271360	3	16384	64	256	128	1	25190.4
p_partkey	16384	271360	3	16384	64	256	256	1	40857.6
p_partkey	16384	271360	3	16384	128	128	2	1	49664
p_partkey	16384	271360	3	16384	128	128	4	1	41472
p_partkey	16384	271360	3	16384	128	128	8	1	24473.6
p_partkey	16384	271360	3	16384	128	128	16	1	37273.6
p_partkey	16384	271360	3	16384	128	128	32	1	27136
p_partkey	16384	271360	3	16384	128	128	64	1	35328
p_partkey	16384	271360	3	16384	128	128	128	1	61747.2
p_partkey	16384	271360	3	16384	256	64	2	1	50585.6
p_partkey	16384	271360	3	16384	256	64	4	1	43520
p_partkey	16384	271360	3	16384	256	64	8	1	33382.4
p_partkey	16384	271360	3	16384	256	64	16	1	35635.2
p_partkey	16384	271360	3	16384	256	64	32	1	47308.8
p_partkey	16384	271360	3	16384	256	64	64	1	60108.8
p_partkey	16384	271360	3	16384	512	32	2	1	71270.4
p_partkey	16384	271360	3	16384	512	32	4	1	66560
p_partkey	16384	271360	3	16384	512	32	8	1	54169.6
p_partkey	16384	271360	3	16384	512	32	16	1	58368
p_partkey	16384	271360	3	16384	512	32	32	1	81817.6
p_partkey	16384	271360	4	16384	1	16384	2	1	59187.2
p_partkey	16384	271360	4	16384	1	16384	4	1	37068.8
p_partkey	16384	271360	4	16384	1	16384	8	1	21094.4
p_partkey	16384	271360	4	16384	1	16384	16	1	13721.6
p_partkey	16384	271360	4	16384	1	16384	32	1	10649.6
p_partkey	16384	271360	4	16384	1	16384	64	1	8704
p_partkey	16384	271360	4	16384	1	16384	128	1	7680
p_partkey	16384	271360	4	16384	1	16384	256	1	7884.8
p_partkey	16384	271360	4	16384	1	16384	512	1	8089.6
p_partkey	16384	271360	4	16384	1	16384	1024	1	8192
p_partkey	16384	271360	5	16384	2	8192	2	1	40140.8
