InputSize	GroupSize	Distribution	resultSize	PSTime	Variant	Intent	localSize	Aggregate	AggTime
20	0	0	1	7.22914e+06	1	256	1	1048576	1.29737e+07
20	0	0	1	7.22914e+06	1	256	2	1048576	1.05296e+07
20	0	0	1	7.22914e+06	1	256	3	1048576	1.04282e+07
20	0	0	1	7.22914e+06	1	256	4	1048576	1.02676e+07
20	0	0	1	7.22914e+06	1	256	5	1048576	1.01596e+07
20	0	0	1	7.22914e+06	1	256	6	1048576	1.01806e+07
20	0	0	1	7.22914e+06	1	256	7	1048576	1.06813e+07
20	0	0	1	7.22914e+06	1	256	8	1048576	1.09467e+07
20	0	0	1	7.22914e+06	1	256	9	1048576	1.0938e+07
20	0	0	1	7.22914e+06	1	256	10	1048576	1.0381e+07
20	0	0	1	7.22914e+06	1	512	1	1048576	1.12329e+07
20	0	0	1	7.22914e+06	1	512	2	1048576	1.03555e+07
20	0	0	1	7.22914e+06	1	512	3	1048576	1.05608e+07
20	0	0	1	7.22914e+06	1	512	4	1048576	1.10773e+07
20	0	0	1	7.22914e+06	1	512	5	1048576	9.6941e+06
20	0	0	1	7.22914e+06	1	512	6	1048576	1.02633e+07
20	0	0	1	7.22914e+06	1	512	7	1048576	1.06009e+07
20	0	0	1	7.22914e+06	1	512	8	1048576	1.03123e+07
20	0	0	1	7.22914e+06	1	512	9	1048576	1.15214e+07
20	0	0	1	7.22914e+06	1	512	10	1048576	8.95332e+06
20	0	0	1	7.22914e+06	2	2	1	1048576	7.19777e+06
20	0	0	1	7.22914e+06	2	2	2	1048576	6.01022e+06
20	0	0	1	7.22914e+06	2	2	3	1048576	5.63355e+06
20	0	0	1	7.22914e+06	2	2	4	1048576	7.03534e+06
20	0	0	1	7.22914e+06	2	2	5	1048576	5.76084e+06
20	0	0	1	7.22914e+06	2	2	6	1048576	6.38336e+06
20	0	0	1	7.22914e+06	2	2	7	1048576	6.07419e+06
20	0	0	1	7.22914e+06	2	2	8	1048576	5.72613e+06
20	0	0	1	7.22914e+06	2	2	9	1048576	5.87237e+06
20	0	0	1	7.22914e+06	2	2	10	1048576	6.15482e+06
20	0	0	1	7.22914e+06	2	4	1	1048576	4.72958e+06
20	0	0	1	7.22914e+06	2	4	2	1048576	3.55679e+06
20	0	0	1	7.22914e+06	2	4	3	1048576	3.13619e+06
20	0	0	1	7.22914e+06	2	4	4	1048576	3.48815e+06
20	0	0	1	7.22914e+06	2	4	5	1048576	2.9933e+06
20	0	0	1	7.22914e+06	2	4	6	1048576	2.76643e+06
20	0	0	1	7.22914e+06	2	4	7	1048576	3.36122e+06
20	0	0	1	7.22914e+06	2	4	8	1048576	3.57772e+06
20	0	0	1	7.22914e+06	2	4	9	1048576	3.63548e+06
20	0	0	1	7.22914e+06	2	4	10	1048576	2.75439e+06
20	0	0	1	7.22914e+06	2	8	1	1048576	1.78535e+06
20	0	0	1	7.22914e+06	2	8	2	1048576	2.06861e+06
20	0	0	1	7.22914e+06	2	8	3	1048576	2.04215e+06
20	0	0	1	7.22914e+06	2	8	4	1048576	1.62816e+06
20	0	0	1	7.22914e+06	2	8	5	1048576	1.37471e+06
20	0	0	1	7.22914e+06	2	8	6	1048576	1.34157e+06
20	0	0	1	7.22914e+06	2	8	7	1048576	1.44292e+06
20	0	0	1	7.22914e+06	2	8	8	1048576	1.51394e+06
20	0	0	1	7.22914e+06	2	8	9	1048576	1.4782e+06
20	0	0	1	7.22914e+06	2	8	10	1048576	1.89982e+06
20	0	0	1	7.22914e+06	2	16	1	1048576	1.29711e+06
20	0	0	1	7.22914e+06	2	16	2	1048576	1.38476e+06
20	0	0	1	7.22914e+06	2	16	3	1048576	1.33471e+06
20	0	0	1	7.22914e+06	2	16	4	1048576	1.17607e+06
20	0	0	1	7.22914e+06	2	16	5	1048576	1.46331e+06
20	0	0	1	7.22914e+06	2	16	6	1048576	1.09955e+06
20	0	0	1	7.22914e+06	2	16	7	1048576	1.05371e+06
